Comment,Type
"In other words #katandandre, your food was crapilicious! #mkr",not_cyberbullying
Why is #aussietv so white? #MKR #theblock #ImACelebrityAU #today #sunrise #studio10 #Neighbours #WonderlandTen #etc,not_cyberbullying
@XochitlSuckkks a classy whore? Or more red velvet cupcakes?,not_cyberbullying
"@Jason_Gio meh. :P  thanks for the heads up, but not too concerned about another angry dude on twitter.",not_cyberbullying
"@RudhoeEnglish This is an ISIS account pretending to be a Kurdish account.  Like Islam, it is all lies.",not_cyberbullying
"@Raja5aab @Quickieleaks Yes, the test of god is that good or bad or indifferent or weird or whatever, it all proves gods existence.",not_cyberbullying
Itu sekolah ya bukan tempat bully! Ga jauh kaya neraka,not_cyberbullying
Karma. I hope it bites Kat on the butt. She is just nasty. #mkr,not_cyberbullying
@stockputout everything but mostly my priest,not_cyberbullying
Rebecca Black Drops Out of School Due to Bullying:,not_cyberbullying
@Jord_Is_Dead http://t.co/UsQInYW5Gn,not_cyberbullying
The Bully flushes on KD http://twitvid.com/A2TNP,not_cyberbullying
Ughhhh #MKR,not_cyberbullying
RT @Kurdsnews: Turkish state has killed 241 children in last 11 years http://t.co/JlvkE1epws  #news  ##GoogleÇeviriciTopluluğuKürtçeyideE…,not_cyberbullying
"Love that the best response to the hotcakes they managed to film was a non-committal ""meh"" from some adolescent. #MKR",not_cyberbullying
@yasmimcaci @Bferrarii PAREM DE FAZER BULLYING COMIGO =( UHAHUAH BANDO DE PRETO,not_cyberbullying
"@sarinhacoral @Victor_Maggi tadinhu de mim , sofrendo bulling viu MIMI'",not_cyberbullying
@0xabad1dea @kelseytheodore2 twitter is basically the angry letters of our generation.,not_cyberbullying
"Best pick up line? Hi, you're cute... ?: I love how people call James Potter is a bully. - mypatronusisyou: http://tumblr.com/xol3xl14zy",not_cyberbullying
Now I gotta walk to classss?! I officially hate the stupid bus system! -_-,not_cyberbullying
@halalcunty @biebervalue @liamxkiwi @greenlinerzjm @halalflaws I know Saudis chased girls into a burning building. http://t.co/8b1AclczN9,not_cyberbullying
Kids Love😘❤ @ Mohamad Bin Zayed City مدينة محمد بن زايد http://t.co/0xrOZSNn,not_cyberbullying
"I still have Jack, Amsterdam, Ciroc, Crown, Bud Light, Lime-a-rita, and CRU in my love handles. I feel the jiggle when I walk...",not_cyberbullying
"@scottyswaggod men are the ones that are going to push the real change. they are the ones in power, generally. we need their help.",not_cyberbullying
Wishing my arena partner was on. &gt;.&gt;  Really want to get some PvP happening.,not_cyberbullying
Education Nation: Bullying | Turn to 10 http://t.co/sxTIWtp,not_cyberbullying
@sand_dejesus Isso é bullying! @O_Patriarca,not_cyberbullying
@gcarothers eek. i can't stand split keyboards. doesn't work well with MMOs.,not_cyberbullying
